City_ID,City,Country,Max Temp,WeatherDesc,Lat,Lng,HotelName
87,Trincomalee,LK,80.98,overcast clouds,8.5711,81.2335,Welcombe Hotel
88,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
92,Charters Towers,AU,83.93,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
93,Acarau,BR,77.38,broken clouds,-2.8856,-40.12,castelo pizzaria
94,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
95,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
96,Vaini,TO,82.4,few clouds,-21.2,-175.2,Keleti Beach Resort
97,Esperance,AU,73.45,broken clouds,-33.8667,121.9,Hospitality Esperance
104,Kaitangata,NZ,63.73,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
105,Sur,OM,77.74,clear sky,22.5667,59.5289,Sur Plaza Hotel
106,Cordoba,AR,66.42,clear sky,-31.4135,-64.1811,Hotel Sussex
108,Saint-Philippe,RE,76.59,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
110,Port Alfred,ZA,79.18,broken clouds,-33.5906,26.891,The Halyards Hotel
111,Chicama,PE,75.76,broken clouds,-7.8447,-79.1469,Balihai Bungalows
112,Mount Gambier,AU,79.74,clear sky,-37.8333,140.7667,The Commodore
115,Port Keats,AU,87.15,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
116,San Joaquin,US,71.67,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
117,Hithadhoo,MV,82.89,scattered clouds,-0.6,73.0833,Scoop Guest House
120,Carnarvon,AU,77.77,clear sky,-24.8667,113.6333,Hospitality Carnarvon
122,Sabang,ID,82.11,scattered clouds,5.8933,95.3214,Hotel Citra
123,East London,ZA,77.86,clear sky,-33.0153,27.9116,Tu Casa
124,Metro,ID,76.62,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
126,Huaibei,CN,62.01,clear sky,33.9744,116.7917,Jinjiang Hotel
127,Graaff-Reinet,ZA,78.93,light rain,-32.2522,24.5308,Rietjiesbos Self Catering
128,Robore,BO,69.6,overcast clouds,-18.3333,-59.75,Hotel Las Lajas
129,San Carlos De Bariloche,AR,58.64,overcast clouds,-41.1456,-71.3082,Hotel Patagonia
130,Portland,US,51.08,moderate rain,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
131,Wollongong,AU,72.09,broken clouds,-34.4333,150.8833,Flinders Motel
132,Bluff,NZ,65.8,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
135,Samarai,PG,85.59,moderate rain,-10.6167,150.6667,Nuli Sapi
